Repo,Size,LOC,ML_Density,Python_Density
alfredfrancis/ai-chatbot-framework,small,2327,0.0,40.82509669101848
ARM-software/CMSIS_5,small,480,0.0,18.75
arogozhnikov/einops,small,4042,1.731815932706581,41.06877783275606
arogozhnikov/hep_ml,small,2839,6.692497358224727,58.47129270870025
bayesiains/nflows,small,6408,1.560549313358302,25.124843945068662
Belval/TextRecognitionDataGenerator,small,3319,0.0,16.57125640253088
beringresearch/ivis,small,2011,0.9945300845350571,42.76479363500746
bethgelab/foolbox,small,8798,0.0,40.91839054330529
bitextor/bitextor,small,4658,0.0,28.338342636324604
cgre-aachen/gempy,small,9841,3.1500863733360434,26.521694949700233
deepmedic/deepmedic,small,6072,2.635046113306983,42.325428194993414
deezer/spleeter,small,2291,2.182453077258839,34.919249236141425
dwadden/dygiepp,small,7411,1.7541492376197545,37.64674133045473
eleurent/rl-agents,small,6640,2.560240963855422,48.493975903614455
EpistasisLab/tpot,small,8506,2.468845520808841,63.954855396190915
ethen8181/machine-learning,small,2780,8.273381294964029,58.63309352517985
explosion/prodigy-recipes,small,3842,0.2602811035918792,43.46694429984383
explosion/spacy-transformers,small,2897,0.0,50.74214704867104
FunctionLab/selene,small,6352,2.0465994962216625,34.94962216624685
geoopt/geoopt,small,8404,0.47596382674916704,65.80199904807235
geyang/ml_logger,small,4472,2.9069767441860463,79.60644007155635
gjy3035/C-3-Framework,small,4303,4.415524052986289,18.12688821752266
google/fhir,small,80,0.0,0.0
google/ml-metadata,small,3619,0.0,35.64520585797182
GoogleCloudPlatform/healthcare,small,7788,0.0,47.76579352850539
GoogleCloudPlatform/ml-on-gcp,small,9308,1.6115169746454663,68.65062311989686
google-research/text-to-text-transfer-transformer,small,8552,1.1693171188026192,18.475210477081383
graphbrain/graphbrain,small,10180,0.0,35.6581532416503
greentfrapp/lucent,small,2009,0.0,37.33200597312096
guillaume-be/rust-bert,small,176,0.0,28.409090909090907
hastagAB/Awesome-Python-Scripts,small,7569,0.5284713964856652,41.88135817148897
henrysky/astroNN,small,10096,0.09904912836767037,70.2258320126783
idealo/image-super-resolution,small,2788,0.0,51.64992826398852
interpretml/DiCE,small,7492,10.678056593699946,93.69994660971703
interpretml/interpret-text,small,6861,3.060778312199388,40.664626147791864
jaakkopasanen/AutoEq,small,4958,2.016942315449778,26.01855586930214
jeongyoonlee/Kaggler,small,2665,9.00562851782364,40.90056285178236
jessevig/bertviz,small,7099,0.0,35.49795745879701
joeynmt/joeynmt,small,9765,1.0240655401945724,9.523809523809526
junyanz/pytorch-CycleGAN-and-pix2pix,small,2037,1.9636720667648504,67.74668630338734
kakao/buffalo,small,6686,0.0,64.31349087645827
kaushaltrivedi/fast-bert,small,9128,3.943908851884312,30.455740578439965
keras-team/autokeras,small,7356,0.0,21.343121261555194
kermitt2/grobid,small,293,0.0,54.60750853242321
kipoi/kipoi,small,9782,7.462686567164179,49.88754855857698
kubeflow-kale/kale,small,6510,0.7680491551459294,37.48079877112135
lsds/KungFu,small,7566,0.13217023526301877,71.23975680676712
magenta/ddsp,small,9882,0.0,34.81076705120421
MAIF/melusine,small,7613,6.567713122290818,17.07605411795613
MarkUsProject/Markus,small,1705,0.0,28.1524926686217
masa-su/pixyz,small,5683,2.4634875945803274,80.59123702269929
michaelhush/M-LOOP,small,4607,0.0,32.34208812676362
microsoft/Windows-Machine-Learning,small,562,7.117437722419928,35.587188612099645
MIPT-Oulu/solt,small,4768,0.8389261744966443,52.2231543624161
MITK/MITK,small,55,0.0,0.0
mlmed/torchxrayvision,small,6002,4.1652782405864714,32.15594801732756
mozilla/DeepSpeech,small,8842,2.375028274146121,19.791902284551007
NLeSC/mcfly,small,1749,0.0,69.75414522584333
philipperemy/keract,small,1080,0.9259259259259258,28.703703703703702
philipperemy/keras-tcn,small,1306,0.7656967840735068,33.6906584992343
pytorch/builder,small,685,0.0,30.656934306569344
pytorch/examples,small,7428,2.2886375875067313,37.42595584275713
robertness/causalML,small,2330,8.15450643776824,28.755364806866954
RussTedrake/underactuated,small,5955,0.8396305625524769,15.95298068849706
rusty1s/pytorch_scatter,small,1450,0.0,26.896551724137932
SeldonIO/seldon-core,small,3289,0.9121313469139556,89.69291577987231
sigopt/sigopt-examples,small,5255,0.19029495718363465,27.02188392007612
sisl/NeuralVerification.jl,small,61,0.0,0.0
snipsco/tract,small,1472,4.076086956521739,11.54891304347826
snorkel-team/snorkel,small,7633,7.205554827721735,42.70928861522337
stephenhky/PyShortTextCategorization,small,2590,1.1583011583011584,60.23166023166023
tensorflow/fairness-indicators,small,1520,3.289473684210526,29.605263157894736
tensorflow/serving,small,2292,0.0,47.99301919720768
thunlp/OpenNRE,small,3137,2.8689831048772714,35.065349059611094
Tiiiger/QPyTorch,small,3868,2.326783867631851,42.39917269906929
timesler/facenet-pytorch,small,1467,0.6816632583503749,27.266530334015
tslearn-team/tslearn,small,10150,1.6748768472906403,50.73891625615764
wandb/examples,small,7128,0.5611672278338945,42.64870931537598
wikipedia2vec/wikipedia2vec,small,4481,1.3389868332961392,33.028341887971436
zalandoresearch/pytorch-ts,small,9932,1.0068465565847764,33.93072895690697
zeusees/HyperLPR,small,1356,0.7374631268436578,55.309734513274336
