GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,CI_Exists_Checked,CI_Tools_Detected
aiqm/torchani,Y,516,990,53385,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but not stable,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-09,11,16,983.4,ML Frameworks / Libraries,2,"TorchANI 2.0 is an open-source library that supports training, development, and research of ANI-style neural network interatomic potentials. It was originally developed and is currently maintained by the Roitberg group. ","deep-learning, force-field, molecular-simulation, neural-network, pytorch, quantum-chemistry, quantum-mechanics",large,Yes,GitHub Actions
alfredfrancis/ai-chatbot-framework,Y,2125,470,2327,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/alfredfrancis/ai-chatbot-framework/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/alfredfrancis/ai-chatbot-framework/issues/130 and https://github.com/alfredfrancis/ai-chatbot-framework/issues/113 but not recently",https://github.com/alfredfrancis/ai-chatbot-framework/blob/master/License.txt is provided.,There are files related to testing,2025-02-03,23,21,1621.0,Natural Language Processing,5,A python chatbot framework with Natural Language Understanding and Artificial Intelligence.,"ai-chatbot, ai-chatbot-framework, chatbot, conversational-ai, deepseek, hacktoberfest, help-wanted, langchain, llm, nextjs, openai, python, tool-calling",small,Yes,GitHub Actions
allegroai/trains,Y,6293,2561,157601,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",https://github.com/allegroai/trains/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2025-09-26,4,99,6255.5,MLOps / Deployment,12,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution","ai, clearml, control, deep-learning, deeplearning, devops, experiment, experiment-manager, k8s, machine-learning, machinelearning, mlops, trains, trainsai, version, version-control",large,Yes,GitHub Actions
amaiya/ktrain,Y,1261,3066,15566,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amaiya/ktrain/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/amaiya/ktrain/issues/191 and https://github.com/amaiya/ktrain/issues/185",https://github.com/amaiya/ktrain/blob/master/LICENSE is provided.,There are many files related to testing,2024-07-09,5,16,1904.2,Natural Language Processing,7,ktrain is a Python library that makes deep learning and AI more accessible and easier to apply,"computer-vision, deep-learning, graph-neural-networks, keras, machine-learning, nlp, python, tabular-data, tensorflow",medium,Yes,GitHub Actions
analyticalmindsltd/smote_variants,Y,673,498,21361,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,The project uses Travis and Circle CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/analyticalmindsltd/smote_variants/issues/24 and https://github.com/analyticalmindsltd/smote_variants/issues/11 but not often",https://github.com/analyticalmindsltd/smote_variants/blob/master/LICENSE is provided.,Only 1 test file,2024-01-01,5,5,568.6,Data Science / Traditional ML,2,A collection of 85 minority oversampling techniques (SMOTE) for imbalanced learning with multi-class oversampling and model selection features,"imbalanced-data, imbalanced-learning, oversampling, smote",medium,Yes,"Travis CI, Makefile (Possible CI), GitHub Actions"
apache/beam,Y,8304,45656,249436,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/beam/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/apache/beam/pull/12186 and https://github.com/apache/beam/pull/12190",https://github.com/apache/beam/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-27,230,842,42278.4,Natural Language Processing,1,Apache Beam is a unified programming model for Batch and Streaming data processing.,"batch, beam, big-data, golang, java, python, sql, streaming",large,Yes,GitHub Actions
apache/submarine,Y,706,1051,13139,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/submarine/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"5 open, 5 closed",https://github.com/apache/submarine/blob/master/LICENSE-binary and https://github.com/apache/submarine/blob/master/LICENSE-binary are provided.,There are many files related to testing,2024-04-03,23,63,2487.7,MLOps / Deployment,5,Submarine is Cloud Native Machine Learning Platform.,"ai, deep-learning, docker, kubernetes, machine-learning, notebook",medium,Yes,GitHub Actions
ARM-software/CMSIS_5,Y,1522,3264,480,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ARM-software/CMSIS_5/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well-maintained documentation,There are only 5 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"The project maintainers respond to issues, as evidenced by https://github.com/ARM-software/CMSIS_5/issues/890 and https://github.com/ARM-software/CMSIS_5/issues/805.",https://github.com/ARM-software/CMSIS_5/blob/develop/LICENSE.txt is provided.,There are many files related to testing.,2024-09-03,3,114,5008.0,Domain-Specific Applications,2,CMSIS Version 5 Development Repository,,small,Yes,"Jenkins, GitHub Actions"
arogozhnikov/einops,Y,9199,713,4042,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arogozhnikov/einops/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,Open issues more than closed,https://github.com/arogozhnikov/einops/blob/master/LICENSE is provided.,There are files related to testing,2025-08-12,6,31,4823.5,ML Frameworks / Libraries,6,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others)","chainer, cupy, deep-learning, einops, jax, keras, numpy, pytorch, tensor, tensorflow",small,Yes,GitHub Actions
arogozhnikov/hep_ml,Y,192,371,2839,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arogozhnikov/hep_ml/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently and not often,https://github.com/arogozhnikov/hep_ml/blob/master/LICENSE is provided.,There are many files related to testing,2025-07-01,8,10,488.1,Data Science / Traditional ML,7,Machine Learning for High Energy Physics.,"boosting-algorithms, high-energy-physics, machine-learning, neural-networks, python, reweighting-algorithms, scikit-learn, splot",small,Yes,GitHub Actions
