GitHub Repo,domain,Lines of Code,Stars,Commits,Contributor Count,Project Size,unused-argument,no-member,protected-access,no-self-use,too-many-arguments,redefined-outer-name,too-many-locals,unsubscriptable-object,syntax-error,too-few-public-methods,attribute-defined-outside-init,abstract-method,no-else-return,unused-variable,fixme,too-many-instance-attributes,redefined-builtin,arguments-differ,logging-fstring-interpolation,no-value-for-parameter,Total_Python_Smells,Python_Smell_Density
aiqm/torchani,ML Frameworks / Libraries,53385,516,990,16,large,29,21,78,39,114,70,46,0,0,12,4,15,2,40,23,12,6,6,0,0,517,9.684368268240142
alfredfrancis/ai-chatbot-framework,Natural Language Processing,2327,2125,470,21,small,6,1,0,8,4,23,0,1,0,25,0,0,1,0,0,2,6,0,18,0,95,40.82509669101848
allegroai/trains,MLOps / Deployment,157601,6293,2561,99,large,114,125,775,65,558,51,196,21,0,192,64,15,122,81,48,448,271,45,2,28,3221,20.437687578124503
amaiya/ktrain,Natural Language Processing,15566,1261,3066,16,medium,63,52,37,32,114,20,65,0,0,11,29,0,63,73,11,14,6,36,0,1,627,40.28009764872157
analyticalmindsltd/smote_variants,Data Science / Traditional ML,21361,673,498,5,medium,3,23,0,68,6,10,14,0,0,0,3,0,0,0,1,0,1,0,1,0,130,6.0858574036796025
apache/beam,MLOps / Deployment,249436,8304,45656,842,large,739,900,1955,1589,461,367,224,1073,1,1507,415,1241,710,20,693,180,409,1108,45,163,13800,55.32481277762633
apache/submarine,MLOps / Deployment,13139,706,1051,63,medium,90,107,4,22,53,43,11,0,0,12,2,0,24,5,12,21,52,2,0,20,480,36.5324606134409
ARM-software/CMSIS_5,Domain-Specific Applications,480,1522,3264,114,small,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,9,18.75
arogozhnikov/einops,ML Frameworks / Libraries,4042,9199,713,31,small,4,5,3,5,4,1,16,0,0,6,46,24,11,14,2,0,22,2,0,1,166,41.06877783275606
arogozhnikov/hep_ml,Data Science / Traditional ML,2839,192,371,10,small,14,5,5,4,15,3,10,0,0,0,77,2,11,3,2,8,5,1,0,1,166,58.47129270870025
arviz-devs/arviz,Data Science / Traditional ML,33576,1729,1614,173,large,9,6,0,189,132,0,137,11,0,22,14,0,41,0,30,4,1,0,0,0,596,17.75077436263998
autorope/donkeycar,ML Frameworks / Libraries,22292,3314,2204,112,medium,119,17,12,140,66,223,31,8,0,89,67,18,42,91,16,44,41,9,146,3,1182,53.02350619056163
avrae/avrae,Domain-Specific Applications,35896,439,6107,42,large,75,45,102,11,103,89,70,57,43,89,7,0,89,23,14,38,20,8,114,7,1004,27.969690216180076
awslabs/amazon-sagemaker-examples,Reinforcement Learning,70067,10746,3175,531,large,233,187,272,132,195,473,204,1,1,106,221,23,107,239,46,59,36,18,329,16,2898,41.360412176916384
bayesiains/nflows,ML Frameworks / Libraries,6408,958,161,22,small,10,0,3,6,41,1,10,0,0,4,44,3,16,14,4,3,0,2,0,0,161,25.124843945068662
Belval/TextRecognitionDataGenerator,Computer Vision,3319,3571,156,32,small,0,0,0,5,11,3,12,0,0,0,0,0,5,15,1,2,1,0,0,0,55,16.57125640253088
beringresearch/ivis,Data Science / Traditional ML,2011,338,584,8,small,5,0,2,1,7,17,4,0,0,13,0,0,0,31,0,5,1,0,0,0,86,42.76479363500746
bethgelab/foolbox,ML Frameworks / Libraries,8798,2903,1711,32,small,59,4,11,43,45,8,69,0,0,14,1,0,16,33,29,5,2,9,5,7,360,40.91839054330529
BindsNET/bindsnet,Reinforcement Learning,14028,1625,2124,46,medium,42,42,4,23,65,22,48,17,0,28,224,8,9,33,2,28,13,4,0,0,612,43.62703165098375
bitextor/bitextor,Natural Language Processing,4658,295,4001,23,small,1,15,0,0,11,48,14,0,0,2,0,1,4,17,10,0,0,0,9,0,132,28.338342636324604
BloodAxe/pytorch-toolbelt,Computer Vision,12133,1556,1245,7,medium,15,12,2,26,114,4,25,0,0,2,2,26,26,26,3,28,24,18,8,0,361,29.753564658369736
brainiak/brainiak,Domain-Specific Applications,17865,358,406,32,medium,72,39,98,30,73,137,102,2,0,9,174,0,31,108,0,17,14,3,10,36,955,53.45647914917436
bulletphysics/bullet3,Reinforcement Learning,100791,13791,9404,223,large,119,153,585,177,135,217,130,4,0,83,515,24,73,297,98,107,77,21,0,14,2829,28.06798226032086
Calamari-OCR/calamari,Computer Vision,11088,1166,479,19,medium,29,11,28,93,16,12,23,0,0,43,2,0,23,38,5,10,14,5,45,18,415,37.42784992784993
calico/basenji,Domain-Specific Applications,39869,452,2009,7,large,61,419,1,5,123,11,294,1,0,3,54,0,40,267,7,22,2,33,0,66,1409,35.3407409265344
