repo_name,loc,size_category,total_smells,smell_density,hyperparameters_not_explicitly_set,gradients_not_cleared_before_backward_propagation,columns_and_datatype_not_explicitly_set,in_place_apis_misused,Chain_Indexing,matrix_multiplication_api_misused,pytorch_call_method_misused,dataframe_conversion_api_misused,nan_equivalence_comparison_misused,unnecessary_iteration,merge_api_parameter_not_explicitly_set,memory_not_freed,empty_column_misinitialization,Broadcasting_Feature_Not_Used,deterministic_algorithm_option_not_used,tensor_array_not_used,total_smells_filtered,Commits,Created Date,Last Commit Date,age_days,created_dt,last_commit_dt,duration_months,commits_per_month,activity_level
alfredfrancis/ai-chatbot-framework,2327,small,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470,2016-12-16T19:10:56Z,2025-02-03,3274,2016-12-16 19:10:56+00:00,2025-02-03 00:00:00+00:00,107.55584756898817,4.369822846670739,Low Activity
ARM-software/CMSIS_5,480,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3264,2016-02-18T08:04:18Z,2024-09-03,3576,2016-02-18 08:04:18+00:00,2024-09-03 00:00:00+00:00,117.47700394218134,27.784161073825505,High Activity
arogozhnikov/einops,4042,small,7,1.731815932706581,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,713,2018-09-22T00:45:08Z,2025-08-12,2630,2018-09-22 00:45:08+00:00,2025-08-12 00:00:00+00:00,86.39947437582128,8.252365019011407,Low Activity
arogozhnikov/hep_ml,2839,small,21,6.692497358224727,2.0,0.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,371,2015-05-05T14:17:36Z,2025-07-01,3865,2015-05-05 14:17:36+00:00,2025-07-01 00:00:00+00:00,126.97109067017082,2.9219249676584735,Low Activity
bayesiains/nflows,6408,small,10,1.560549313358302,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,161,2020-02-17T12:36:32Z,2024-12-27,2116,2020-02-17 12:36:32+00:00,2024-12-27 00:00:00+00:00,69.51379763469119,2.3160869565217395,Low Activity
Belval/TextRecognitionDataGenerator,3319,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,2017-07-01T20:11:40Z,2024-02-15,3077,2017-07-01 20:11:40+00:00,2024-02-15 00:00:00+00:00,101.08409986859395,1.5432694182645434,Low Activity
beringresearch/ivis,2011,small,3,0.9945300845350571,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,584,2018-08-13T08:31:01Z,2024-09-29,2669,2018-08-13 08:31:01+00:00,2024-09-29 00:00:00+00:00,87.68068331143232,6.660532034469839,Low Activity
bethgelab/foolbox,8798,small,12,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711,2017-06-14T13:05:48Z,2024-03-04,3094,2017-06-14 13:05:48+00:00,2024-03-04 00:00:00+00:00,101.64257555847568,16.83349709114415,High Activity
bitextor/bitextor,4658,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,2018-04-16T10:04:27Z,2024-11-11,2788,2018-04-16 10:04:27+00:00,2024-11-11 00:00:00+00:00,91.59001314060447,43.68380200860832,High Activity
cgre-aachen/gempy,9841,small,31,3.1500863733360434,0.0,0.0,10.0,4.0,9.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3113,2017-07-04T11:32:12Z,2025-09-24,3074,2017-07-04 11:32:12+00:00,2025-09-24 00:00:00+00:00,100.9855453350854,30.826193884189983,High Activity
deepmedic/deepmedic,6072,small,16,2.635046113306983,0.0,0.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,540,2016-04-26T18:23:31Z,2024-08-04,3508,2016-04-26 18:23:31+00:00,2024-08-04 00:00:00+00:00,115.2431011826544,4.685746864310149,Low Activity
deezer/spleeter,2291,small,5,2.182453077258839,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,540,2019-09-26T15:40:46Z,2025-04-02,2260,2019-09-26 15:40:46+00:00,2025-04-02 00:00:00+00:00,74.24441524310117,7.273274336283187,Low Activity
dwadden/dygiepp,7411,small,13,1.7541492376197545,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,712,2019-02-19T01:48:41Z,2024-06-18,2480,2019-02-19 01:48:41+00:00,2024-06-18 00:00:00+00:00,81.47174770039422,8.739225806451612,Low Activity
eleurent/rl-agents,6640,small,17,2.560240963855422,0.0,0.0,6.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,787,2017-06-05T20:53:59Z,2024-01-13,3103,2017-06-05 20:53:59+00:00,2024-01-13 00:00:00+00:00,101.93823915900131,7.720360941024815,Low Activity
EpistasisLab/tpot,8506,small,41,2.468845520808841,20.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,551,2015-11-03T21:08:40Z,2025-09-11,3683,2015-11-03 21:08:40+00:00,2025-09-11 00:00:00+00:00,120.99211563731932,4.554015748031496,Low Activity
ethen8181/machine-learning,2780,small,23,8.273381294964029,0.0,0.0,11.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,520,2015-07-24T03:35:49Z,2025-06-27,3785,2015-07-24 03:35:49+00:00,2025-06-27 00:00:00+00:00,124.34296977660972,4.181981505944518,Low Activity
explosion/prodigy-recipes,3842,small,1,0.2602811035918792,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,210,2017-12-09T12:57:34Z,2024-08-04,2916,2017-12-09 12:57:34+00:00,2024-08-04 00:00:00+00:00,95.79500657030223,2.1921810699588478,Low Activity
explosion/spacy-transformers,2897,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485,2019-07-26T19:12:34Z,2025-05-26,2322,2019-07-26 19:12:34+00:00,2025-05-26 00:00:00+00:00,76.28120893561103,19.46744186046512,High Activity
FunctionLab/selene,6352,small,13,2.0465994962216625,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,860,2017-08-21T14:06:22Z,2024-12-16,3026,2017-08-21 14:06:22+00:00,2024-12-16 00:00:00+00:00,99.40867279894874,8.651156642432255,Low Activity
geoopt/geoopt,8404,small,4,0.47596382674916704,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,218,2018-11-07T17:32:53Z,2025-08-04,2583,2018-11-07 17:32:53+00:00,2025-08-04 00:00:00+00:00,84.85545335085413,2.569074719318622,Low Activity
geyang/ml_logger,4472,small,13,2.9069767441860463,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,831,2018-04-21T07:27:55Z,2025-04-21,2783,2018-04-21 07:27:55+00:00,2025-04-21 00:00:00+00:00,91.4257555847569,9.089342436219907,Low Activity
gjy3035/C-3-Framework,4303,small,19,4.415524052986289,0.0,3.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,133,2018-12-22T01:02:21Z,2024-03-30,2539,2018-12-22 01:02:21+00:00,2024-03-30 00:00:00+00:00,83.40998685939553,1.5945332808192203,Low Activity
google/fhir,80,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461,2018-01-10T04:54:52Z,2025-09-25,2884,2018-01-10 04:54:52+00:00,2025-09-25 00:00:00+00:00,94.7437582128778,15.420540915395284,Low Activity
google/ml-metadata,3619,small,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909,2019-01-15T21:02:09Z,2025-04-03,2514,2019-01-15 21:02:09+00:00,2025-04-03 00:00:00+00:00,82.58869908015768,11.006348448687351,Low Activity
GoogleCloudPlatform/healthcare,7788,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847,2018-02-23T00:33:00Z,2024-08-20,2841,2018-02-23 00:33:00+00:00,2024-08-20 00:00:00+00:00,93.3311432325887,9.075212953185497,Low Activity
GoogleCloudPlatform/ml-on-gcp,9308,small,19,1.6115169746454663,4.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,376,2017-08-21T21:05:18Z,2024-10-24,3026,2017-08-21 21:05:18+00:00,2024-10-24 00:00:00+00:00,99.40867279894874,3.7823661599471254,Low Activity
google-research/text-to-text-transfer-transformer,8552,small,10,1.1693171188026192,0.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,601,2019-10-17T21:45:14Z,2025-04-28,2239,2019-10-17 21:45:14+00:00,2025-04-28 00:00:00+00:00,73.5545335085414,8.170808396605628,Low Activity
