GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,match_score,domain_description,domain_topics,Project Size,Created Date,created_dt,age_days,total_smells,smell_density,age_category,domain,has_ci,size_category,commit_freq,team_size,activity_level
alfredfrancis/ai-chatbot-framework,Y,2125,470,2327,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/alfredfrancis/ai-chatbot-framework/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/alfredfrancis/ai-chatbot-framework/issues/130 and https://github.com/alfredfrancis/ai-chatbot-framework/issues/113 but not recently",https://github.com/alfredfrancis/ai-chatbot-framework/blob/master/License.txt is provided.,There are files related to testing,2025-02-03,23,21,1621.0,5,A python chatbot framework with Natural Language Understanding and Artificial Intelligence.,"ai-chatbot, ai-chatbot-framework, chatbot, conversational-ai, deepseek, hacktoberfest, help-wanted, langchain, llm, nextjs, openai, python, tool-calling",small,2016-12-16T19:10:56Z,2016-12-16 19:10:56,3274,95,40.82509669101848,Mature,Natural Language Processing,True,small,52.43356750152718,Small,Low
ARM-software/CMSIS_5,Y,1522,3264,480,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ARM-software/CMSIS_5/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well-maintained documentation,There are only 5 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"The project maintainers respond to issues, as evidenced by https://github.com/ARM-software/CMSIS_5/issues/890 and https://github.com/ARM-software/CMSIS_5/issues/805.",https://github.com/ARM-software/CMSIS_5/blob/develop/LICENSE.txt is provided.,There are many files related to testing.,2024-09-03,3,114,5008.0,2,CMSIS Version 5 Development Repository,,small,2016-02-18T08:04:18Z,2016-02-18 08:04:18,3576,9,18.75,Mature,Domain-Specific Applications,True,small,333.3825503355705,Large,High
arogozhnikov/einops,Y,9199,713,4042,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arogozhnikov/einops/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,Open issues more than closed,https://github.com/arogozhnikov/einops/blob/master/LICENSE is provided.,There are files related to testing,2025-08-12,6,31,4823.5,6,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others)","chainer, cupy, deep-learning, einops, jax, keras, numpy, pytorch, tensor, tensorflow",small,2018-09-22T00:45:08Z,2018-09-22 00:45:08,2630,166,41.06877783275606,Young,ML Frameworks / Libraries,True,small,99.02024714828897,Small,Low
arogozhnikov/hep_ml,Y,192,371,2839,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arogozhnikov/hep_ml/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently and not often,https://github.com/arogozhnikov/hep_ml/blob/master/LICENSE is provided.,There are many files related to testing,2025-07-01,8,10,488.1,7,Machine Learning for High Energy Physics.,"boosting-algorithms, high-energy-physics, machine-learning, neural-networks, python, reweighting-algorithms, scikit-learn, splot",small,2015-05-05T14:17:36Z,2015-05-05 14:17:36,3865,166,58.47129270870025,Mature,Data Science / Traditional ML,True,small,35.06021992238034,Small,Low
bayesiains/nflows,Y,958,161,6408,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bayesiains/nflows/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Little evidence of sustained commit activity,Open issues more than closed,https://github.com/bayesiains/nflows/blob/master/LICENSE.md is provided.,There are many files related to testing,2024-12-27,2,22,1091.5,1,Normalizing flows in PyTorch,"density-estimation, generative-model, normalizing-flows, pytorch",small,2020-02-17T12:36:32Z,2020-02-17 12:36:32,2116,161,25.124843945068662,Young,ML Frameworks / Libraries,True,small,27.790760869565215,Small,Low
Belval/TextRecognitionDataGenerator,Y,3571,156,3319,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Belval/TextRecognitionDataGenerator/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/Belval/TextRecognitionDataGenerator/issues/109 and https://github.com/Belval/TextRecognitionDataGenerator/issues/95.",https://github.com/Belval/TextRecognitionDataGenerator/blob/master/LICENSE is provided.,There are 2 files related to testing.,2024-02-15,8,32,2435.2,1,A synthetic data generator for text recognition,"data, dataset, fake, ocr, synthetic, text, text-recognition, training-set-generator",small,2017-07-01T20:11:40Z,2017-07-01 20:11:40,3077,55,16.57125640253088,Mature,Computer Vision,True,small,18.517712057198572,Small,Low
beringresearch/ivis,Y,338,584,2011,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/beringresearch/ivis/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/beringresearch/ivis/issues/61 and https://github.com/beringresearch/ivis/issues/71",https://github.com/beringresearch/ivis/blob/master/LICENSE is provided.,There are many files related to testing,2024-09-29,2,8,550.4,3,Dimensionality reduction in very large datasets using Siamese Networks,"data-visualization, dimensionality-reduction, machine-learning, neural-network, siamese-neural-network",small,2018-08-13T08:31:01Z,2018-08-13 08:31:01,2669,86,42.76479363500746,Young,Data Science / Traditional ML,True,small,79.91982015736231,Small,Low
bethgelab/foolbox,Y,2903,1711,8798,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bethgelab/foolbox/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bethgelab/foolbox/issues/498 and https://github.com/bethgelab/foolbox/issues/545 but some are closed without resolving","There is no license to be found, either in the form of a license file or written inside the source code file.",There are many files related to testing,2024-03-04,6,32,2634.5,5,"A Python toolbox to create adversarial examples that fool neural networks in PyTorch, TensorFlow, and JAX","adversarial-attacks, adversarial-examples, jax, keras, machine-learning, python, pytorch, tensorflow",small,2017-06-14T13:05:48Z,2017-06-14 13:05:48,3094,360,40.91839054330529,Mature,ML Frameworks / Libraries,True,small,201.98537491919845,Small,High
bitextor/bitextor,Y,295,4001,4658,The source code of this project has been organised into different modules in a way that shows the relationship between different files but quite messy,https://github.com/bitextor/bitextor/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity until recently,"The project maintainers respond to issues, as evidenced by https://github.com/bitextor/bitextor/issues/169 and https://github.com/bitextor/bitextor/issues/175",https://github.com/bitextor/bitextor/blob/master/document-aligner/LICENSE is provided.,There are files related to testing,2024-11-11,12,23,2008.3,2,Bitextor generates translation memories from multilingual websites,"apertium, bicleaner, bitextor, bleualign, corpus-generator, corpus-processing, corpus-tools, crawler, dictionaries, document-aligner, hunalign, machine-translation, neural-machine-translation, parallel-corpora, sentence-segmentation, statistical-machine-translation, tmx, tokenizer, warc, wget",small,2018-04-16T10:04:27Z,2018-04-16 10:04:27,2788,132,28.338342636324604,Mature,Natural Language Processing,True,small,524.1625717360115,Small,High
cgre-aachen/gempy,Y,1158,3113,9841,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cgre-aachen/gempy/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/cgre-aachen/gempy/issues/422 and https://github.com/cgre-aachen/gempy/issues/431 but still a lot open issues",https://github.com/cgre-aachen/gempy/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-24,38,26,2177.1,3,"GemPy is an open-source, Python-based 3-D structural geological modeling software, which allows the implicit (i.e. automatic) creation of complex geological models from interface and orientation data. It also offers support for stochastic modeling to address parameter and model uncertainties.","bayesian, complex-geological-models, geological, geology, geoscience, implicit, interpolation, modeling, monte-carlo-simulation, python, torch, uncertainties, uncertainty-analysis, uq",small,2017-07-04T11:32:12Z,2017-07-04 11:32:12,3074,261,26.521694949700233,Mature,Reinforcement Learning,True,small,369.8839459986988,Small,High
